Entity,Code,Year,plugin_hybrid_share,battery_electric_share,petrol_share,diesel_gas_share,full_mild_hybrid_share
Greece,GRC,2001,0,0,99.11531269,0.884687308,0
Greece,GRC,2002,0,0,99.24071949,0.757790263,0.001490246
Greece,GRC,2003,0,0,98.41323535,1.585209378,0.00155527
Greece,GRC,2004,0,0,97.1330101,2.82831213,0.038677773
Greece,GRC,2005,0,0,98.41951944,1.496242694,0.08423787
Greece,GRC,2006,0,0,97.63514903,2.165599381,0.199251592
Greece,GRC,2007,0,0,96.71396591,2.890880352,0.395153734
Greece,GRC,2008,0,0,95.55249456,3.573126317,0.87437912
Greece,GRC,2009,0,0.00045369,95.99119842,3.247964068,0.760383821
Greece,GRC,2010,0,0,95.23887122,3.990279362,0.770849422
Greece,GRC,2011,0,0,89.0569477,9.9200213,1.023030998
Greece,GRC,2012,0,0.003419914,59.32354098,39.88816881,0.7848703
Greece,GRC,2013,0,0.005111342,41.4768371,57.85528087,0.662770688
Greece,GRC,2014,0.01263761,0.075825657,35.61137947,63.70338126,0.596776005
Greece,GRC,2015,0.05672449,0.042213574,35.70872634,63.05256909,1.139766506
Greece,GRC,2016,0.098893157,0.02535722,43.51679282,54.49266542,1.86629138
Greece,GRC,2017,0.180519761,0.042007743,52.82416921,44.29432668,2.658976601
Greece,GRC,2018,0.220436813,0.070578453,60.57951678,35.66048863,3.46897932
Greece,GRC,2019,0.401338965,0.164741759,67.53613428,26.9388828,4.958902189
Iceland,ISL,2016,3.263982707,1.248311267,47.25209403,44.47446636,3.761145636
Iceland,ISL,2017,6.789085132,1.948416036,44.67806747,41.72039996,4.864031399
Ireland,IRL,2001,0,0,87.19125256,12.79715415,0.011593283
Ireland,IRL,2002,0,0,83.71621622,16.27799228,0.005791506
Ireland,IRL,2003,0,0,83.10579498,16.88799315,0.006211866
Ireland,IRL,2004,0,0,81.16340602,18.68018717,0.156406814
Ireland,IRL,2005,0,0,78.04746526,21.76848818,0.184046563
Ireland,IRL,2006,0,0,74.89015147,24.76816031,0.341688222
Ireland,IRL,2007,0,0,71.8375801,27.60199789,0.560422016
Ireland,IRL,2008,0,0,63.66174154,35.54997242,0.788286043
Ireland,IRL,2009,0,0.003656575,44.04892497,55.49034664,0.457071815
Ireland,IRL,2010,0,0.019534616,32.39299052,66.81528296,0.772191899
Ireland,IRL,2011,0,0.051693525,26.99188636,72.32823141,0.628188704
Ireland,IRL,2012,0,0.172331379,24.33897708,74.67735037,0.811341166
Ireland,IRL,2013,0,0.063280061,26.81458942,72.32776379,0.794366728
Ireland,IRL,2014,0.030151172,0.236010896,25.27915826,73.40978561,1.044894055
Ireland,IRL,2015,0.077634159,0.372964104,27.27440074,71.06006643,1.214934571
Ireland,IRL,2016,0.204766975,0.267562181,27.86537254,69.909493,1.752805308
Ireland,IRL,2017,0.235365807,0.473778421,30.73694634,65.17195415,3.381955288
Ireland,IRL,2018,0.540979819,0.98236836,38.52509302,54.34656171,5.604997092
Ireland,IRL,2019,1.099689831,2.941905275,40.47328317,46.41417592,9.070945802
Italy,ITA,2001,0,0.006011486,63.67762243,36.31542551,0.000940573
Italy,ITA,2002,0,0.00539,56.64710122,43.34686394,0.000642005
Italy,ITA,2003,0,0.006016813,51.41977019,48.57372989,0.000483102
Italy,ITA,2004,0,0.001833976,41.52515211,58.45144286,0.021571054
Italy,ITA,2005,0,0.023270601,41.09614688,58.83161269,0.048969823
Italy,ITA,2006,0,0.001104437,41.36077661,58.54521883,0.092900128
Italy,ITA,2007,0,0.000835664,43.97414695,55.88812768,0.136889707
Italy,ITA,2008,0,0.003541332,49.12365826,50.71918938,0.153611032
Italy,ITA,2009,0,0.002032257,57.74721592,41.90152701,0.34922481
Italy,ITA,2010,0,0.005286229,53.69268508,46.05708314,0.244945552
Italy,ITA,2011,0,0.016685885,44.44431702,55.24954573,0.289451367
Italy,ITA,2012,0,0.04304914,46.342005,53.15071712,0.464228744
Italy,ITA,2013,0,0.088986364,44.8038181,54.02179505,1.085400485
Italy,ITA,2014,0.0197673,0.090229337,43.11175235,55.2478535,1.530397512
Italy,ITA,2015,0.05645308,0.092257214,42.6725292,55.58601328,1.592747232
Italy,ITA,2016,0.074341984,0.074450433,40.61544968,57.26490907,1.970848833
Italy,ITA,2017,0.143936722,0.099212623,40.20696532,56.56222443,2.987660904
