STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,TERRITORIAL_LEVEL,Territorial level,REF_AREA,Reference area,TERRITORIAL_TYPE,Territorial typology,MEASURE,Measure,AGE,Age,SEX,Sex,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,COUNTRY,Country,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.CFE.EDS:DSD_REG_SOC@DF_VEH(2.2),Private road vehicles - Regions,I,A,Annual,CTRY,Country,HUN,Hungary,_Z,Not applicable,VEH_STOCK_ELECTRIC,"Vehicles fleet, electric power engine",_Z,Not applicable,_Z,Not applicable,UT,Units,2007,,104,,HUN,Hungary,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_SOC@DF_VEH(2.2),Private road vehicles - Regions,I,A,Annual,CTRY,Country,HUN,Hungary,_Z,Not applicable,VEH_STOCK_ELECTRIC,"Vehicles fleet, electric power engine",_Z,Not applicable,_Z,Not applicable,UT,Units,2008,,74,,HUN,Hungary,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_SOC@DF_VEH(2.2),Private road vehicles - Regions,I,A,Annual,CTRY,Country,HUN,Hungary,_Z,Not applicable,VEH_STOCK_HYBRID,"Vehicles fleet, hybrid power engine",_Z,Not applicable,_Z,Not applicable,UT,Units,2008,,2401,,HUN,Hungary,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_SOC@DF_VEH(2.2),Private road vehicles - Regions,I,A,Annual,CTRY,Country,HUN,Hungary,_Z,Not applicable,VEH_STOCK_HYBRID,"Vehicles fleet, hybrid power engine",_Z,Not applicable,_Z,Not applicable,UT,Units,2009,,2785,,HUN,Hungary,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_SOC@DF_VEH(2.2),Private road vehicles - Regions,I,A,Annual,CTRY,Country,HUN,Hungary,_Z,Not applicable,VEH_STOCK_ELECTRIC,"Vehicles fleet, electric power engine",_Z,Not applicable,_Z,Not applicable,UT,Units,2009,,67,,HUN,Hungary,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_SOC@DF_VEH(2.2),Private road vehicles - Regions,I,A,Annual,CTRY,Country,HUN,Hungary,_Z,Not applicable,VEH_STOCK_ELECTRIC,"Vehicles fleet, electric power engine",_Z,Not applicable,_Z,Not applicable,UT,Units,2010,,80,,HUN,Hungary,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_SOC@DF_VEH(2.2),Private road vehicles - Regions,I,A,Annual,CTRY,Country,HUN,Hungary,_Z,Not applicable,VEH_STOCK_HYBRID,"Vehicles fleet, hybrid power engine",_Z,Not applicable,_Z,Not applicable,UT,Units,2010,,3137,,HUN,Hungary,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_SOC@DF_VEH(2.2),Private road vehicles - Regions,I,A,Annual,CTRY,Country,HUN,Hungary,_Z,Not applicable,VEH_STOCK_HYBRID,"Vehicles fleet, hybrid power engine",_Z,Not applicable,_Z,Not applicable,UT,Units,2011,,3742,,HUN,Hungary,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_SOC@DF_VEH(2.2),Private road vehicles - Regions,I,A,Annual,CTRY,Country,HUN,Hungary,_Z,Not applicable,VEH_STOCK_ELECTRIC,"Vehicles fleet, electric power engine",_Z,Not applicable,_Z,Not applicable,UT,Units,2011,,89,,HUN,Hungary,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_SOC@DF_VEH(2.2),Private road vehicles - Regions,I,A,Annual,CTRY,Country,HUN,Hungary,_Z,Not applicable,VEH_STOCK_ELECTRIC,"Vehicles fleet, electric power engine",_Z,Not applicable,_Z,Not applicable,UT,Units,2012,,89,,HUN,Hungary,A,Normal value,0,Units,0,Zero
