Segment,Modellreihe,Insgesamt,,,,,,Gasoline,,,,,Diesel,,,,,,"Erdgas 
(CNG)
(einschl. bivalent)","Flüssiggas 
(LPG)
(einschl. bivalent)",Hybrid,,"Elektro
(BEV)",Other
,,Anzahl,"CO2-Emission
in g/km","Leermasse
in kg","CO2-Emission
je 1 000kg","NOx-Emission
in mg/km","Fahrgeräusch
in dB",Anzahl,"CO2-Emission
in g/km","Kraftstoff-
verbrauch
in l/100km","NOx-Emission
in mg/km","Fahrgeräusch
in dB",Anzahl,"CO2-Emission
in g/km","Kraftstoff-
verbrauch
in l/100km","NOx-Emission
in mg/km","Fahrgeräusch
in dB","Partikelmasse
in mg/km",,,Insgesamt,of which: Plug-in,,
,SEAT LEON,37129,123.5,1512,81.7,19.3,67.3,11342,162.2,7,18.9,68.6,8806,125.5,4.7,27.9,67,0.3,9,-,16972,6066,-,-
,SKODA OCTAVIA,50817,126.9,1475,86,25,67.1,8077,147.3,6.3,22.6,67.1,34876,124.4,4.7,27.3,67.4,0.3,6,1,7857,366,-,-
,SKODA SCALA,9009,124.5,1238,100.6,19.4,66.4,9007,124.5,5.4,19.4,66.4,1,-,-,-,70,-,1,-,-,-,-,-
,SUBARU IMPREZA,71,169.9,1624,104.6,11.2,67.6,15,177.9,7.7,27.8,70,-,-,-,-,-,-,-,-,56,-,-,-
,SUZUKI SWACE,661,102,1475,69.1,3.5,67,-,-,-,-,-,-,-,-,-,-,-,-,-,661,-,-,-
,TOYOTA COROLLA,17129,107.1,1569,68.3,3.6,67.4,7,110,4.7,-,67,-,-,-,-,-,-,-,-,17122,-,-,-
,TOYOTA PRIUS,197,17.2,1676,10.3,4.6,65,-,-,-,-,-,-,-,-,-,-,-,-,-,197,197,-,-
,VW GOLF,100183,133.7,1425,93.9,25.6,68.4,43434,146,6.3,24.3,69.1,34065,123.3,4.7,31.5,67.7,0.3,-,1,22683,1195,-,-
,VW ID.3,20101,0,1845,0,0,66.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20101,-
,SONSTIGE,4,52.5,1497.5,35.1,3.2,67.25,2,-,-,-,67,-,-,-,-,-,-,-,-,1,-,1,-
KOMPAKTKLASSE ZUSAMMEN,,526519,115.9,1508,76.8,21.7,67.4,207231,143.1,6.2,24.4,67.8,119893,126.4,4.8,34.2,67.6,0.3,18,6550,137379,18367,55444,4
MITTELKLASSE,ALFA ROMEO GIULIA,1462,189,1819,103.9,22.8,67.5,1351,192.3,8.3,21.1,67.5,111,148,5.6,43.4,68,0.3,-,-,-,-,-,-
,AUDI A4,29767,155.7,1656,94,18.9,68.3,1620,224.5,9.7,8.3,71.1,3,163.7,6.2,-,68,-,-,-,28144,-,-,-
,AUDI A5,12722,168,1762,95.4,16.4,67.9,3350,196.6,8.5,13.8,68.3,79,164.7,6.2,60.2,66.5,0.6,1,-,9292,21,-,-
,BMW 3ER,35491,141.3,1782,79.3,18.1,67.4,13647,177,7.6,13.5,68.2,1,138,5.2,-,66,-,-,-,21843,5275,-,-
,BMW 4ER,21971,90.5,1988,45.5,9.1,68,5720,183.2,7.9,15,70,1,-,-,-,73,-,-,-,5882,-,10368,-
,BYD SEAL,575,0,2192,0,0,69,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,575,-
,CITROEN C5,10003,132.5,1673,79.2,31.4,66.4,3073,141.2,6.1,37.4,67.7,2554,145,5.5,50.5,67,0.2,-,-,4371,433,5,-
,GWM ORA 07,89,0,2151,0,0,66,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,89,-
